0,ASUS,N580VD,7700HQ,16G4,dGTX10504G5,256G,2T,111500
1,ASUS,GL553VD,7300HQ,8G4,dGTX10504G5,128G,1T,85000
2,ASUS,E203NAH,N4200,4G4,Shared,0,1T,27800
3,ASUS,X505BP,A6-9225,4G4,dR54202D3,0,1T,35500
4,ASUS,GL503GE,8750H,16G4,dGTX10504G5,256G,1T,126500
5,ASUS,E203NAH,N3350,4G3,shared,0,500G,25000
6,ASUS,X441NA,N3350,4G3,shared,0,500G,22000
7,ASUS,X441NA,N3350,4G3,shared,0,500G,22000
8,ASUS,X407MA,N4000,4G4,Shared,0,500G,23000
9,ASUS,X407MA,N4000,4G4,Shared,0,500G,23000
10,ASUS,X540YA,E1-6010,4G3,Shared,0,500G,21800
11,ASUS,X505BP,A9-9420,4G4,dR54202D3,0,1T,38800
12,ASUS,X505BP,A6-9225,4G4,dR54202D3,128G,1T,39800
13,ASUS,X505BP,A9-9425,4G4,dR54202D3,128G,1T,41800
14,ASUS,TP203NAH,N3350,4G3,Shared,0,1T,32000
15,ASUS,TP203NAH,N4200,4G3,Shared,0,1T,36500
16,ASUS,TP203NAH,N4200,4G3,Shared,0,1T,36500
17,ASUS,TP203NAH,N4200,4G3,Shared,0,1T,36500
18,ASUS,TP410UA,7100U,4G4,Shared,0,1T,47000
19,ASUS,TP410UA,8250U,8G4,Shared,0,1T,61000
20,ASUS,TP410UA,8550U,8G4,Shared,128G,1T,76000
21,ASUS,X507LA,5005U,4G3,Shared,0,1T,32000
22,ASUS,X507LA,5005U,4G3,Shared,0,1T,32000
23,ASUS,X507UA,6006U,4G4,Shared,0,1T,33800
24,ASUS,X407UA,6006U,4G4,Shared,0,1T,33500
25,ASUS,X540LA,5005U,4G3,Shared,0,1T,29500
26,ASUS,X441UA,6006u,4G4,Shared,0,1T,30000
27,ASUS,X441UA,6006u,4G4,Shared,0,1T,32000
28,ASUS,X441UA,6006u,4G4,Shared,0,1T,32000
29,ASUS,X442UA,7100U,4G4,Shared,0,1T,36800
30,ASUS,X442UA,7100U,4G4,Shared,0,1T,36800
31,ASUS,X442UA,7100U,4G4,Shared,0,1T,35000
32,ASUS,X442UA,7100U,4G4,Shared,0,1T,35000
33,ASUS,X542UA,7100U,4G4,Shared,0,1T,37000
34,ASUS,X542UA,7100U,4G4,Shared,0,1T,37000
35,ASUS,X411UA,7100U,4G4,Shared,0,1T,40800
36,ASUS,X510UA,7100U,4G4,Shared,0,1T,41000
37,ASUS,X510UA,7100U,4G4,Shared,0,1T,41000
38,ASUS,X540UB,7100U,4G4,dMX1102G5,0,1T,41500
39,ASUS,X542UR,7100U,4G4,dGT9302G5,0,1T,41800
40,ASUS,X542UR,7100U,4G4,dGT9302G5,0,1T,41800
41,ASUS,S410UA,7100U,4G4,Shared,0,1T,42500
42,ASUS,S410UA,7100U,4G4,Shared,0,1T,42300
43,ASUS,S510UA,7100U,4G4,Shared,0,1T,43800
44,ASUS,S510UA,Corei3,4G4,dGT9302D3,0,1T,45800
45,ASUS,S510UA,Corei3,4G4,dGT9302D3,0,1T,46500
46,ASUS,UX310UA,7100U,4G4,Shared,0,1T,41500
47,ASUS,UX310UA,7100U,4G4,Shared,0,1T,41500
48,ASUS,UX410UA,7100U,4G4,Shared,0,1T,42500
49,ASUS,UX410UA,7100U,4G4,Shared,0,1T,42500
50,ASUS,X507UA,7200U,4G4,Shared,0,1T,43800
51,ASUS,X442UA,8250U,4G4,Shared,0,1T,45800
52,ASUS,X442UA,8250U,4G4,Shared,0,1T,45800
53,ASUS,X540UP,7200U,4G4,dR2,0,1T,44800
54,ASUS,X540UP,7200U,4G4,dR2,0,1T,44800
55,ASUS,X411UA,8250U,4G4,Shared,0,1T,49000
56,ASUS,X411UA,8250U,4G4,Shared,0,1T,49000
57,ASUS,X510UA,8250U,4G4,Shared,0,1T,50000
58,ASUS,X510UA,8250U,4G4,Shared,0,1T,50000
